sn_in_category,test_name,test_category,category_section,price_outsourced,price_walkin,price_hospital,test_key
33,Eye Swab MCS,MICROBIOLOGY,,"₦ 11,500","₦ 11,500","₦5,000",microbiology__eye_swab_mcs
34,FUNGAL SCRAPPING,MICROBIOLOGY,,"₦ 9,000","₦ 9,000","₦5,000",microbiology__fungal_scrapping
35,SPUTUM MCS,MICROBIOLOGY,,"₦ 12,000","₦ 12,000","₦6,000",microbiology__sputum_mcs
36,COMPREHENSIVE SEXUALLY TRANSMITED INFECTION,MICROBIOLOGY,,"₦ 100,000","₦ 100,000","₦75,000",microbiology__comprehensive_sexually_transmited_infection
37,GENE EXPERT,MICROBIOLOGY,,"₦ 20,000","₦ 20,000","₦20,000",microbiology__gene_expert
38,SEMEN ANALYSIS,MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦8,000",microbiology__semen_analysis
39,TYPHOID VACCINE,MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦5,000",microbiology__typhoid_vaccine
40,TRICHOMONAS VAGINALIS,MICROBIOLOGY,,N/A,N/A,"₦25,000",microbiology__trichomonas_vaginalis
41,6 PANEL SEXUALLY TRANSMITTED INFECTION(STD),MICROBIOLOGY,,N/A,N/A,"₦15,000",microbiology__6_panel_sexually_transmitted_infection_std
42,CHLAMYDIA,MICROBIOLOGY,,"₦ 20,000","₦ 20,000","₦5,000",microbiology__chlamydia
43,Neisseria gonorhoea Antigen,MICROBIOLOGY,,"₦ 25,000","₦ 25,000","₦10,000",microbiology__neisseria_gonorhoea_antigen
44,STB GOLD QUANTIFERON,MICROBIOLOGY,,"₦ 65,000","₦ 65,000","₦30,000",microbiology__stb_gold_quantiferon
45,Treponema pallidum Particle Agglutination Test(TPHA),MICROBIOLOGY,,"₦ 25,000","₦ 25,000","₦10,000",microbiology__treponema_pallidum_particle_agglutination_test_tpha
46,STREPTOCOCCUS GPB ANTIGEN,MICROBIOLOGY,,N/A,N/A,"₦15,000",microbiology__streptococcus_gpb_antigen
47,3 PANEL SEXUALLY TRANSMITTED INFECTION(STD),MICROBIOLOGY,,N/A,N/A,"₦7,500",microbiology__3_panel_sexually_transmitted_infection_std
48,MUMPS IGG ANTIBODIES,MICROBIOLOGY,,"₦ 26,000","₦ 26,000","₦15,000",microbiology__mumps_igg_antibodies
49,MUMPS IGM ANTIBODIES,MICROBIOLOGY,,"₦ 26,000","₦ 26,000","₦15,000",microbiology__mumps_igm_antibodies
50,MEASLES IGM ANTIBODIES,MICROBIOLOGY,,"₦ 15,000","₦ 15,000","₦15,000",microbiology__measles_igm_antibodies
51,MEASLES IGG ANTIBODIES,MICROBIOLOGY,,"₦ 26,000","₦ 26,000","₦15,000",microbiology__measles_igg_antibodies
52,ALCOHOL TEST (QUATITATIVE),MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦10,000",microbiology__alcohol_test_quatitative
53,MANTOUX TEST,MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦3,000",microbiology__mantoux_test
54,CATHETER TIP MCS,MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦6,000",microbiology__catheter_tip_mcs
55,Nasal Swab,MICROBIOLOGY,,"₦ 11,500","₦ 11,500","₦5,000",microbiology__nasal_swab
56,ASPIRATE CELL COUNT + MICROSCOPY,MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦3,000",microbiology__aspirate_cell_count_microscopy
57,CHLAMYDIA TRACHOMATIS,MICROBIOLOGY,,"₦ 20,000","₦ 20,000","₦10,000",microbiology__chlamydia_trachomatis
58,COVID 19 TESTING(1),MICROBIOLOGY,,"₦ 30,000","₦ 30,000","₦30,000",microbiology__covid_19_testing_1
59,HERPES SIMPLEX(CASETTE),MICROBIOLOGY,,"₦ 11,000","₦ 11,000","₦6,000",microbiology__herpes_simplex_casette
60,CHLAMYDIA PNEUMONIAE,MICROBIOLOGY,,"₦ 30,000","₦ 30,000","₦10,000",microbiology__chlamydia_pneumoniae
61,VARICELLA ZOOSTER VIRUS(VZV) IgG,MICROBIOLOGY,,"₦ 26,000","₦ 26,000","₦15,000",microbiology__varicella_zooster_virus_vzv_igg
62,VARICELLA ZOOSTER VIRUS(VZV)IgM,MICROBIOLOGY,,"₦ 26,000","₦ 26,000","₦15,000",microbiology__varicella_zooster_virus_vzv_igm
63,COVID 19 TESTING,MICROBIOLOGY,,"₦ 30,000","₦ 30,000","₦39,500",microbiology__covid_19_testing
64,COVID INBOUND TESTING,MICROBIOLOGY,,N/A,N/A,"₦39,500",microbiology__covid_inbound_testing
65,COVID - 19 ANTIGEN TEST(RDT),MICROBIOLOGY,,"₦ 20,000","₦ 20,000","₦20,000",microbiology__covid_19_antigen_test_rdt
66,COVID 19 TESTING(2),MICROBIOLOGY,,"₦ 30,000","₦ 30,000","₦35,000",microbiology__covid_19_testing_2
67,PLEURAL FLUID MCS,MICROBIOLOGY,,"₦ 10,000","₦ 10,000","₦5,000",microbiology__pleural_fluid_mcs
68,HERPES SIMPLEX VIRUS PCR,MICROBIOLOGY,,"₦ 180,000","₦ 180,000",N/A,microbiology__herpes_simplex_virus_pcr
1,URINE CYTOLOGY,CYTOLOGY,,"₦ 17,000","₦ 17,000","₦15,000",cytology__urine_cytology
2,CERVICAL SMEAR,CYTOLOGY,,"₦ 16,000","₦ 16,000","₦9,000",cytology__cervical_smear
3,FINE NEEDLE ASPIRATION CYTOLOGY (FNAC),CYTOLOGY,,"₦ 65,000","₦ 65,000","₦37,500",cytology__fine_needle_aspiration_cytology_fnac
4,FINE NEEDLE ASPIRATION BIOPSY(IMMUNOHISTOCHEMISTRY),CYTOLOGY,,"₦ 40,000","₦ 40,000","₦62,500",cytology__fine_needle_aspiration_biopsy_immunohistochemistry
5,FINE NEEDLE ASPIRATION BIOPSY (USS GUIDED),CYTOLOGY,,"₦ 33,000","₦ 33,000","₦30,000",cytology__fine_needle_aspiration_biopsy_uss_guided
6,FINE NEEDLE ASPIRATION BIOPSY (BOTH BREAST),CYTOLOGY,,"₦ 50,000","₦ 50,000","₦30,000",cytology__fine_needle_aspiration_biopsy_both_breast
7,USS GUIDED TRUCUT BIOPSY,CYTOLOGY,,N/A,N/A,"₦50,000",cytology__uss_guided_trucut_biopsy
8,FNAC (Thyroid),CYTOLOGY,,"₦ 25,000","₦ 25,000","₦35,000",cytology__fnac_thyroid
9,SYNOVIAL FLUID CYTOLOGY,CYTOLOGY,,"₦ 31,500","₦ 31,500","₦31,500",cytology__synovial_fluid_cytology
10,FINE NEEDLE ASPIRATION BIOPSY (USS GUIDED TRU CUT),CYTOLOGY,,"₦ 60,000","₦ 60,000","₦60,000",cytology__fine_needle_aspiration_biopsy_uss_guided_tru_cut
11,LUMP EXCISION,CYTOLOGY,,N/A,N/A,"₦60,000",cytology__lump_excision
12,CYTOLOGY,CYTOLOGY,,"₦ 18,000","₦ 18,000","₦15,000",cytology__cytology
13,Human Papilloma Virus (PCR detection),CYTOLOGY,,"₦ 37,000","₦ 37,000","₦15,000",cytology__human_papilloma_virus_pcr_detection
14,CERVICAL SMEAR(PAP SMEAR),CYTOLOGY,,"₦ 16,000","₦ 16,000","₦12,000",cytology__cervical_smear_pap_smear
15,SPUTUM CYTOLOGY,CYTOLOGY,,"₦ 27,000","₦ 27,000","₦10,000",cytology__sputum_cytology
16,SPUTUM CYTOLOGY(1),CYTOLOGY,,N/A,N/A,"₦15,000",cytology__sputum_cytology_1
17,ADRB2 GENOTYPING FOR B - 2 - AGONIST RESPONSIVENESS,CYTOLOGY,,"₦ 66,000","₦ 66,000","₦66,000",cytology__adrb2_genotyping_for_b_2_agonist_responsiveness
18,HPV DNA DETECTOR,CYTOLOGY,,"₦ 46,000","₦ 46,000","₦30,000",cytology__hpv_dna_detector
19,PAP SMEAR (SLIDE),CYTOLOGY,,"₦ 16,000","₦ 15,000","₦5,000",cytology__pap_smear_slide
20,HPV GENOTYPING BY SEQUENCING,CYTOLOGY,,"₦ 40,000","₦ 40,000","₦40,000",cytology__hpv_genotyping_by_sequencing
21,GLYCOPHORIN A,CYTOLOGY,,N/A,N/A,"₦45,000",cytology__glycophorin_a
1,HISTOLOGY (FNAC),HISTOLOGY,,"₦ 25,000","₦ 25,000","₦20,500",histology__histology_fnac
2,ENDOMETRIAL BIOPSY,HISTOLOGY,,"₦ 67,560","₦ 67,560","₦45,000",histology__endometrial_biopsy
3,Endoscopy biopsy,HISTOLOGY,,"₦ 26,400","₦ 26,400","₦17,500",histology__endoscopy_biopsy
4,HISTOLOGY,HISTOLOGY,,"₦ 18,000","₦ 18,000","₦10,000",histology__histology
5,EXCISION BIOPSY,HISTOLOGY,,"₦ 120,000","₦ 120,000","₦80,000",histology__excision_biopsy
6,PROSTATIC BIOSPY,HISTOLOGY,,"₦ 150,000","₦ 150,000","₦100,000",histology__prostatic_biospy
7,CDII7/C-KIT ASSAY,HISTOLOGY,,N/A,N/A,"₦42,000",histology__cdii7_c_kit_assay
8,Stone Analysis,HISTOLOGY,,"₦ 25,200","₦ 25,200","₦21,000",histology__stone_analysis
9,PV JAK 2 REFLEX PANEL(JAK 2 V 617F),HISTOLOGY,,N/A,N/A,"₦128,000",histology__pv_jak_2_reflex_panel_jak_2_v_617f
1,IMMUNOGLOBIN(TOTAL IgE),ALLERGY,,"₦ 25,000","₦ 25,000","₦10,000",allergy__immunoglobin_total_ige
2,PAEDIATRC FOOD SCREEN,ALLERGY,,"₦ 45,000","₦ 45,000","₦40,000",allergy__paediatrc_food_screen
3,ADULT FOOD SCREEN,ALLERGY,,"₦ 60,000","₦ 60,000","₦36,000",allergy__adult_food_screen
4,INDIVIDUAL RAST ALLERGENS,ALLERGY,,N/A,N/A,"₦7,500",allergy__individual_rast_allergens
5,FOOD INTOLERANCE TEST(RD1306),ALLERGY,,"₦ 216,000","₦ 216,000","₦180,000",allergy__food_intolerance_test_rd1306
6,COMPREHENSIVE ADULT ALLERGY PANEL 1,ALLERGY,,"₦ 55,000","₦ 55,000","₦40,000",allergy__comprehensive_adult_allergy_panel_1
7,COMPREHENSIVE ALLERGY PANEL 4 (PEADIATRIC),ALLERGY,,"₦ 55,000","₦ 55,000","₦40,000",allergy__comprehensive_allergy_panel_4_peadiatric
8,COMPREHENSIVE RESPIRATORY PANEL,ALLERGY,,"₦ 55,000","₦ 55,000","₦36,000",allergy__comprehensive_respiratory_panel
9,PAUL FFP,ALLERGY,,N/A,N/A,"₦20,000",allergy__paul_ffp
10,FITNESS PACKAGE FOR MEN,ALLERGY,,N/A,N/A,N/A,allergy__fitness_package_for_men
11,FOOD ALLERGY PANEL( PANEL 3),ALLERGY,,"₦ 55,000","₦ 55,000","₦40,000",allergy__food_allergy_panel_panel_3
12,ALLERGY PANEL 2(INHALATIVE ALLERGENS),ALLERGY,,"₦ 48,000","₦ 48,000","₦40,000",allergy__allergy_panel_2_inhalative_allergens
13,ALKALINE PHOSPHATASE ISOENZYMES(BONE FRACTION),ALLERGY,,N/A,N/A,"₦25,000",allergy__alkaline_phosphatase_isoenzymes_bone_fraction
14,All Fish Panel:BCR/ABL T(9:22) + TEL/AML t(12:21) + MLL 11q rearrangement.,ALLERGY,,N/A,N/A,"₦157,400",allergy__all_fish_panel_bcr_abl_t_9_22_tel_aml_t_12_21_mll_11q_rearrangement
15,DRUGS ALLERGY PANEL,ALLERGY,,"₦ 264,000","₦ 264,000","₦220,000",allergy__drugs_allergy_panel
16,DICLOFENAC ALLERGY TEST,ALLERGY,,N/A,N/A,"₦20,000",allergy__diclofenac_allergy_test
17,"3 PANEL STD(MG,CHLAMYDIA,NG)",ALLERGY,,₦ 344,₦ 344,"₦7,500",allergy__3_panel_std_mg_chlamydia_ng
18,MATERNAL SCREENING(DOUBLE MARKER TEST),ALLERGY,,N/A,N/A,N/A,allergy__maternal_screening_double_marker_test
19,RHEUMATOID ARTHRITIS PANEL,ALLERGY,,"₦ 45,600","₦ 45,600","₦38,000",allergy__rheumatoid_arthritis_panel
20,Aspirate Protien,ALLERGY,,"₦ 1,000","₦ 1,000","₦1,000",allergy__aspirate_protien
21,POST RED CELL EXCHANGE,ALLERGY,,"₦ 30,000","₦ 30,000","₦30,000",allergy__post_red_cell_exchange
22,SKIN SCRAPPING(FUNGAL MICROSCOPY),ALLERGY,,"₦ 7,000","₦ 7,000","₦5,000",allergy__skin_scrapping_fungal_microscopy
23,PRE SCHOOL PACKAGE,ALLERGY,,"₦ 10,000","₦ 10,000","₦10,000",allergy__pre_school_package
24,FIBROID TEST,ALLERGY,,N/A,N/A,N/A,allergy__fibroid_test
25,ROTA VIRUS VACCINE,ALLERGY,,N/A,N/A,"₦10,000",allergy__rota_virus_vaccine
26,PROTEIN ELECTROPHORESIS (SRL),ALLERGY,,N/A,N/A,N/A,allergy__protein_electrophoresis_srl
27,DRUG PANEL,ALLERGY,,"₦ 55,000","₦ 55,000","₦35,000",allergy__drug_panel
28,CHLAMYDIA SCREENING TEST,ALLERGY,,"₦ 15,000","₦ 15,000","₦5,000",allergy__chlamydia_screening_test
29,FBC 3 parts,ALLERGY,,"₦ 8,000","₦ 8,000","₦3,000",allergy__fbc_3_parts
1,SEMEN ANALYSIS(SPERMIOGRAM),SEMEN ANALYSIS,,"₦ 8,500","₦ 8,500","₦10,000",semen_analysis__semen_analysis_spermiogram
2,ANTI-SPERM ANTIBODY,SEMEN ANALYSIS,,"₦ 30,000","₦ 30,000","₦25,000",semen_analysis__anti_sperm_antibody
3,SEMEN FRUCTOSE,SEMEN ANALYSIS,,"₦ 25,000","₦ 25,000","₦20,000",semen_analysis__semen_fructose
4,SEMEN CULTURE & SENSITIVITY,SEMEN ANALYSIS,,"₦ 11,500","₦ 11,500",N/A,semen_analysis__semen_culture_sensitivity
1,DONORS BLOOD BANKING,BLOOD BANKING,,N/A,N/A,N/A,blood_banking__donors_blood_banking
2,WHOLE BLOOD,BLOOD BANKING,,"₦ 20,000","₦ 20,000","₦20,000",blood_banking__whole_blood
3,FRESH FROZEN PLASMA,BLOOD BANKING,,"₦ 25,000","₦ 25,000","₦25,000",blood_banking__fresh_frozen_plasma
4,PACKED RED CELL,BLOOD BANKING,,"₦ 12,000","₦ 12,000","₦10,000",blood_banking__packed_red_cell
5,RED CELL CONCENTRATE,BLOOD BANKING,,"₦ 10,000","₦ 10,000","₦10,000",blood_banking__red_cell_concentrate
6,PLATELET RICH PLASMA,BLOOD BANKING,,"₦ 40,000","₦ 40,000","₦30,000",blood_banking__platelet_rich_plasma
7,PLATELET CONCENTRATE(APHARESIS),BLOOD BANKING,,"₦ 500,000","₦ 500,000","₦180,000",blood_banking__platelet_concentrate_apharesis
8,MIKE FFP,BLOOD BANKING,,"₦ 25,000","₦ 25,000","₦15,000",blood_banking__mike_ffp
9,FREE BLOOD GROUP,BLOOD BANKING,,N/A,N/A,N/A,blood_banking__free_blood_group
10,PROTIEN RICH PLASMA,BLOOD BANKING,,"₦ 25,000","₦ 25,000","₦25,000",blood_banking__protien_rich_plasma
11,TRANSFUSION SEROLOGY,BLOOD BANKING,,"₦ 6,000","₦ 6,000","₦6,000",blood_banking__transfusion_serology
12,WHOLE BLOOD (NEGATIVE),BLOOD BANKING,,"₦ 35,000","₦ 35,000","₦35,000",blood_banking__whole_blood_negative
13,ELISA BLOOD SCREENING,BLOOD BANKING,,"₦ 7,000","₦ 7,000",N/A,blood_banking__elisa_blood_screening
14,FRESH FROZEN PLASMA(FFP),BLOOD BANKING,,"₦ 25,000","₦ 25,000","₦25,000",blood_banking__fresh_frozen_plasma_ffp
1,BRCA1 & 2 GENETIC TEST (BREAST CANCER),ONCOLOGY,,"₦ 286,000","₦ 286,000","₦286,000",oncology__brca1_2_genetic_test_breast_cancer
2,"BREAST CA PANEL(ER,PGR,HER2/nEU,KI - 67)",ONCOLOGY,,"₦ 100,000","₦ 100,000","₦60,000",oncology__breast_ca_panel_er_pgr_her2_neu_ki_67
3,"BREAST CANCER MONITOR 1(CA15 - 3,CEA)",ONCOLOGY,,"₦ 30,400","₦ 30,400","₦16,000",oncology__breast_cancer_monitor_1_ca15_3_cea
4,"BREAST CANCER PROGNOSIS PROFILE(ER,PGR,HER2/neu,DNA PLOIDY)",ONCOLOGY,,N/A,N/A,"₦85,000",oncology__breast_cancer_prognosis_profile_er_pgr_her2_neu_dna_ploidy
5,"BREAST CANCER PROGNOSIS TUMOR PROFILE#1A(ER,PGR,DNAPLOIDY,CATHESPIN D)",ONCOLOGY,,N/A,N/A,"₦70,000",oncology__breast_cancer_prognosis_tumor_profile_1a_er_pgr_dnaploidy_cathespin_d
6,BCR-ABL 1 KINASE DOMAIN MUTATION ANALYSIS(BREAST CANCER),ONCOLOGY,,N/A,N/A,"₦142,000",oncology__bcr_abl_1_kinase_domain_mutation_analysis_breast_cancer
7,"ACUTE LEUKEMIA PANEL (CD10,CD19,CD20,CD22,CD3,CD5,CD7,CD13,CD33,CD34,CD117,HLA DR, CD11b, CD16, CD45, CD64, CD2, CD56, CYTOPLASMIC MARKERS (CD3, CD79a and MPO, CD1a, CD4, CD8, CD14, CD15 ) WILL BE DONE IF REQUIRED FOR DIAGNOSIS)",ONCOLOGY,,N/A,N/A,"₦136,000",oncology__acute_leukemia_panel_cd10_cd19_cd20_cd22_cd3_cd5_cd7_cd13_cd33_cd34_cd117_hla_dr_cd11b_cd16_cd45_cd64_cd2_cd56_cytoplasmic_markers_cd3_cd79a_and_mpo_cd1a_cd4_cd8_cd14_cd15_will_be_done_if_required_for_diagnosis
8,"ACUTE LYMPHOBLASTIC LEUKEMIA PANEL (CD3,CD4,CD5,CD7,CD8,CD10,CD19,CD20,CD22,CD34,CD45, IgM, HLA-DR, CD33, CD2, CD56, CD1",ONCOLOGY,,N/A,N/A,"₦164,000",oncology__acute_lymphoblastic_leukemia_panel_cd3_cd4_cd5_cd7_cd8_cd10_cd19_cd20_cd22_cd34_cd45_igm_hla_dr_cd33_cd2_cd56_cd1
9,"ACUTE MYELOID LEUKEMIA (AML) PANEL (CD7, CD19, CD13, CD14, CD15, CD33, CD34, CD117, CD41, CD45, CD61, GLYCOPHORIN A, HLA-DR, CD11b, CD16, CD64, CD56)",ONCOLOGY,,N/A,N/A,"₦150,000",oncology__acute_myeloid_leukemia_aml_panel_cd7_cd19_cd13_cd14_cd15_cd33_cd34_cd117_cd41_cd45_cd61_glycophorin_a_hla_dr_cd11b_cd16_cd64_cd56
10,B-Acute Lymphoblastic Leukemia MRD,ONCOLOGY,,N/A,N/A,"₦123,000",oncology__b_acute_lymphoblastic_leukemia_mrd
11,CUSTOM LEUKEMIA PANEL (FOUR SURFACE MARKERS),ONCOLOGY,,N/A,N/A,"₦90,000",oncology__custom_leukemia_panel_four_surface_markers
12,CUSTOM LEUKEMIA PANEL (SIX SURFACE MARKERS),ONCOLOGY,,N/A,N/A,"₦103,000",oncology__custom_leukemia_panel_six_surface_markers
13,"CYTOCHEMISTRY PANEL FOR LEUKEMIAS (PERIODIC ACID SCHIFF,SUDAN BLACK B and MYELOPEROXIDASE)",ONCOLOGY,,N/A,N/A,"₦37,000",oncology__cytochemistry_panel_for_leukemias_periodic_acid_schiff_sudan_black_b_and_myeloperoxidase
14,LEUKEMIA / LYMPHOMA EVALUATION WITH HISTOPATHOLOGY,ONCOLOGY,,N/A,N/A,"₦110,000",oncology__leukemia_lymphoma_evaluation_with_histopathology
15,Leukemia Translocation Panel (Custom 4 markers,ONCOLOGY,,N/A,N/A,"₦93,000",oncology__leukemia_translocation_panel_custom_4_markers
16,"LEUKEMIA TRANSLOCATION PANEL 1 (t(1;19) (q23;p13), Inv(16)(p13;q22), t(9;22) (q34;q11), t(4;11) (q21;q23), t(12;21) (p13;q22), t(15;17)(q22;q22), t(8;21)(q22;q22)",ONCOLOGY,,N/A,N/A,"₦110,000",oncology__leukemia_translocation_panel_1_t_1_19_q23_p13_inv_16_p13_q22_t_9_22_q34_q11_t_4_11_q21_q23_t_12_21_p13_q22_t_15_17_q22_q22_t_8_21_q22_q22
17,"LEUKEMIA TRANSLOCATION PANEL 2 (Inv(16)(p13;q22), t(15;17)(q22;q22), t(8;21)(q22;q22))",ONCOLOGY,,N/A,N/A,"₦72,000",oncology__leukemia_translocation_panel_2_inv_16_p13_q22_t_15_17_q22_q22_t_8_21_q22_q22
18,"LEUKEMIA TRANSLOCATION PANEL 3 (t(1;11) (p32;q23), t(1;11) (p21;q23), t(4;11) (q21;q23), t(6;11) (q27;q23), t(9;11) (p22;q23), t(10;11) (p12;q23), t(11;17) (q23;q21), t(11;19) (q23;p13.1), t(11;19) (q23;p13.3), Dup MLL (11q23), t(X;11) (q13;q23))",ONCOLOGY,,N/A,N/A,"₦100,000",oncology__leukemia_translocation_panel_3_t_1_11_p32_q23_t_1_11_p21_q23_t_4_11_q21_q23_t_6_11_q27_q23_t_9_11_p22_q23_t_10_11_p12_q23_t_11_17_q23_q21_t_11_19_q23_p13_1_t_11_19_q23_p13_3_dup_mll_11q23_t_x_11_q13_q23
19,"LEUKEMIA TRANSLOCATION PANEL 4 t(1; 19) (q23; p13), t(9; 22) (q34; q11), t(4;11) (q21; q23), t(1;11) (p32; q23), t(11;",ONCOLOGY,,N/A,N/A,"₦96,000",oncology__leukemia_translocation_panel_4_t_1_19_q23_p13_t_9_22_q34_q11_t_4_11_q21_q23_t_1_11_p32_q23_t_11
20,"BREAST CANCER PROGNOSIS TUMOR PROFILE #2A (ER, PGR, DNA PLOIDY, CATHESPIN D",ONCOLOGY,,N/A,N/A,"₦83,000",oncology__breast_cancer_prognosis_tumor_profile_2a_er_pgr_dna_ploidy_cathespin_d
21,"BREAST CANCER PROGNOSIS TUMOR PROFILE #3A (ER, PGR, DNA PLOIDY, PS2)",ONCOLOGY,,N/A,N/A,"₦83,000",oncology__breast_cancer_prognosis_tumor_profile_3a_er_pgr_dna_ploidy_ps2
22,"BREAST CANCER PROGNOSIS TUMOR PROFILE #4A (ER, PGR, HER 2-neu, EGFR, DNA PLOIDY",ONCOLOGY,,N/A,N/A,"₦89,500",oncology__breast_cancer_prognosis_tumor_profile_4a_er_pgr_her_2_neu_egfr_dna_ploidy
23,"BREAST CANCER PROGNOSIS TUMOR PROFILE #5A (ER, PGR, HER 2-neu, CATHESPIN D, EGFR, DNA PLOIDY)",ONCOLOGY,,N/A,N/A,"₦95,000",oncology__breast_cancer_prognosis_tumor_profile_5a_er_pgr_her_2_neu_cathespin_d_egfr_dna_ploidy
24,"BREAST CANCER PROGNOSIS TUMOR PROFILE #6A (ER, PGR, DNA PLOIDY, CATHESPIN D, EGFR, HER 2neu, KI -67, PS2, P53",ONCOLOGY,,N/A,N/A,"₦115,000",oncology__breast_cancer_prognosis_tumor_profile_6a_er_pgr_dna_ploidy_cathespin_d_egfr_her_2neu_ki_67_ps2_p53
25,"ADENOCARCINOMA V/S MALIGNANT MESOTHELIOMA(CEA,EMA,VIMENTIN,LWCK)",ONCOLOGY,,N/A,N/A,"₦98,000",oncology__adenocarcinoma_v_s_malignant_mesothelioma_cea_ema_vimentin_lwck
26,KAPPA LIGHT CHAIN,ONCOLOGY,,N/A,N/A,"₦45,000",oncology__kappa_light_chain
27,LAMDA LIGHT CHAIN,ONCOLOGY,,N/A,N/A,"₦45,000",oncology__lamda_light_chain
28,COMPREHENSIVE MYELOMA PROTEIN PANEL(TEST CODE 5040M),ONCOLOGY,,N/A,N/A,"₦131,000",oncology__comprehensive_myeloma_protein_panel_test_code_5040m
29,"NATURAL KILLER CELL PANEL(CD3,CD16,CD56,CD45)",ONCOLOGY,,N/A,N/A,"₦81,000",oncology__natural_killer_cell_panel_cd3_cd16_cd56_cd45
30,SERUM LIGHT CHAIN(KAPPA & LAMDA),ONCOLOGY,,N/A,N/A,"₦90,000",oncology__serum_light_chain_kappa_lamda
31,IMMUNOFIXATION ELECTROPHORESIS(3125),ONCOLOGY,,N/A,N/A,"₦90,000",oncology__immunofixation_electrophoresis_3125
1,PRE TRANSFUSION,EXCHANGE BLOOD TRANSFUSION,,"₦ 35,000","₦ 35,000","₦35,000",exchange_blood_transfusion__pre_transfusion
2,RED CELL EXCHANGE TRANSFUSION,EXCHANGE BLOOD TRANSFUSION,,"₦ 350,000","₦ 350,000","₦350,000",exchange_blood_transfusion__red_cell_exchange_transfusion
3,PRE RED CELL EXCHANGE TRANSFUSION TEST,EXCHANGE BLOOD TRANSFUSION,,"₦ 400,000","₦ 400,000","₦400,000",exchange_blood_transfusion__pre_red_cell_exchange_transfusion_test
4,POST RED CELL EXCHANGE TRANSFUSION TEST,EXCHANGE BLOOD TRANSFUSION,,N/A,N/A,N/A,exchange_blood_transfusion__post_red_cell_exchange_transfusion_test
5,AVERAGE PACKED RED CELL EXCHANGE,EXCHANGE BLOOD TRANSFUSION,,N/A,N/A,N/A,exchange_blood_transfusion__average_packed_red_cell_exchange
1,"MSI STUDY(MLH -1,MSH -2,MSH -6,PMS -2",IMMUNOHISTOCHEMISTRY,,"₦ 80,000","₦ 80,000","₦80,000",immunohistochemistry__msi_study_mlh_1_msh_2_msh_6_pms_2
1,HER 2/neu,CYTOGENETICS,,"₦ 150,000","₦ 150,000","₦150,000",cytogenetics__her_2_neu
2,SICKLE CELL DNA PCR,CYTOGENETICS,,"₦ 55,000","₦ 55,000","₦55,000",cytogenetics__sickle_cell_dna_pcr
3,SICKLE CELL DNA PCR PRENATAL DIAGNOSIS(AMNIOCENTESIS),CYTOGENETICS,,N/A,N/A,"₦300,000",cytogenetics__sickle_cell_dna_pcr_prenatal_diagnosis_amniocentesis
4,IP/19q Deletions.,CYTOGENETICS,,N/A,N/A,"₦155,000",cytogenetics__ip_19q_deletions
5,ABCD3,CYTOGENETICS,,N/A,N/A,"₦46,000",cytogenetics__abcd3
6,HLA B 27,CYTOGENETICS,,"₦ 85,000","₦ 85,000","₦45,000",cytogenetics__hla_b_27
1,ANTI NEUTROPHYLIC CYTOPLASMIC ANTIBODIES,IMMUNE,,"₦ 25,000","₦ 25,000","₦25,000",immune__anti_neutrophylic_cytoplasmic_antibodies
2,UREA BREATH TEST,IMMUNE,,"₦ 30,000","₦ 30,000","₦25,000",immune__urea_breath_test
3,MYOMECTOMY,IMMUNE,,"₦ 54,500","₦ 54,500","₦54,500",immune__myomectomy
1,ASPIRATE(ZIEHL NELSEN STAIN),ASPIRATE,,"₦ 3,000","₦ 3,000","₦3,000",aspirate__aspirate_ziehl_nelsen_stain
